pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
56,TUBE-02,RT-XRM43971-0848,1000,HGF,RM43971,1190575,2025-03-18T03:17:36.068607,5.747855,0.121453,0.6935,12.29,0.005945564676596434,1.0412496995914444e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0848/20250328134017
56,TUBE-02,RT-XRM43971-0842,1001,GOV,RM43971,1190575,2025-03-18T02:56:19.770735,3.941915,0.27535,1.0854,14.2,0.0013335633436232675,3.383053866470119e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0842/20250328131156
57,TUBE-03,RT-XRM43971-0866,1002,HGM,RM43971,1190575,2025-03-18T03:42:04.490042,5.638682,0.09053,0.5051,11.7,0.0036121359402039844,6.474097538441233e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0866/20250401092938
57,TUBE-03,RT-XRM43971-0867,1003,HGM,RM43971,1190575,2025-03-18T03:42:12.918085,4.695228,0.392271,1.8418,14.16,0.002174525604322862,4.6313570058276324e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0867/20250401093408
57,TUBE-03,RT-XRM43971-0868,1004,HGM,RM43971,1190575,2025-03-25T22:13:07.325688,3.905798,0.22203,0.8672,12.87,0.0014200783677881365,3.635839483394834e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0868/20250401093831
57,TUBE-03,RT-XRM43971-0869,1005,HGM,RM43971,1190575,2025-03-25T22:13:29.313911,4.627364,0.286319,1.3249,16.25,0.002646255866126011,5.718720909754195e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0869/20250401094301
57,TUBE-03,RT-XRM43971-0861,1006,HGM,RM43971,1190575,2025-03-18T03:29:34.690419,4.525379,0.152297,0.6892,10.09,0.0026296862927919352,5.810988585799961e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0861/20250401083241
57,TUBE-03,RT-XRM43971-0870,1007,HGM,RM43971,1190575,2025-03-25T22:13:44.777478,4.8777,0.218894,1.0677,14.36,0.016660849543614714,3.415716025100683e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0870/20250401094752
57,TUBE-03,RT-XRM43971-0862,1008,HGM,RM43971,1190575,2025-03-18T03:29:43.074994,4.404009,0.164965,0.7265,11.26,0.0036015720506370036,8.178022482220693e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0862/20250401083710
57,TUBE-03,RT-XRM43971-0864,1009,HGM,RM43971,1190575,2025-03-18T03:41:49.156166,3.915816,0.35732,1.3992,13.31,0.0017973618418597708,4.590003811701925e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0864/20250401084706
57,TUBE-03,RT-XRM43971-0863,1010,HGM,RM43971,1190575,2025-03-18T03:41:40.624421,4.634289,0.142482,0.6603,13.44,0.0035425059539684546,7.6441516482407e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0863/20250401084204
57,TUBE-03,RT-XRM43971-0865,1011,HGM,RM43971,1190575,2025-03-18T03:41:55.783772,4.59449,0.265406,1.2194,13.22,0.00242481330489891,5.277677546334262e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0865/20250401085213
57,TUBE-03,RT-XRM43971-0847,1012,HGF,RM43971,1190575,2025-03-18T03:17:17.309205,4.572922,0.190691,0.872,11.85,0.0027925981474392256,6.106918960244649e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0847/20250328133419
57,TUBE-03,RT-XRM43971-0844,1013,HGF,RM43971,1190575,2025-03-18T02:56:57.415764,4.0757,0.4274,1.7421,18.93,0.0013218062704726252,3.242867803225992e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0844/20250328132249
