created_at,particle_id,ore_type,rm_number,density_bin
2025-03-17T01:19:14.838652,RT-XRM43971-0800,HGM,RM43971,1190573
2025-03-17T01:19:25.938154,RT-XRM43971-0801,HGM,RM43971,1190573
2025-03-17T01:19:34.485201,RT-XRM43971-0802,HGM,RM43971,1190573
2025-03-17T03:39:10.413283,RT-XRM43971-0803,GMO,RM43971,1190575
2025-03-17T03:40:12.897366,RT-XRM43971-0804,GMO,RM43971,1190575
2025-03-17T03:42:00.436354,RT-XRM43971-0805,GMO,RM43971,1190575
2025-03-17T03:43:28.020592,RT-XRM43971-0806,GMO,RM43971,1190575
2025-03-17T03:46:59.340603,RT-XRM43971-0807,BPO,RM43971,1190575
2025-03-17T03:47:46.598407,RT-XRM43971-0808,BPO,RM43971,1190575
2025-03-17T03:52:19.687671,RT-XRM43971-0809,GOE,RM43971,1190575
2025-03-17T03:52:46.742103,RT-XRM43971-0810,GOE,RM43971,1190575
2025-03-17T03:54:42.628699,RT-XRM43971-0811,GOE,RM43971,1190575
2025-03-17T03:55:37.849147,RT-XRM43971-0812,GOE,RM43971,1190575
2025-03-17T03:56:47.689571,RT-XRM43971-0813,GOE,RM43971,1190575
2025-03-17T03:57:39.018330,RT-XRM43971-0814,GOE,RM43971,1190575
2025-03-17T04:02:30.837233,RT-XRM43971-0815,GOH,RM43971,1190575
2025-03-17T04:04:12.015277,RT-XRM43971-0816,GOH,RM43971,1190575
2025-03-17T04:05:08.352999,RT-XRM43971-0817,GOH,RM43971,1190575
2025-03-17T04:05:52.165907,RT-XRM43971-0818,GOH,RM43971,1190575
2025-03-17T04:06:39.283615,RT-XRM43971-0819,GOH,RM43971,1190575
2025-03-17T04:11:26.515849,RT-XRM43971-0820,GOC,RM43971,1190575
2025-03-17T04:12:40.190707,RT-XRM43971-0821,GOC,RM43971,1190575
2025-03-17T04:13:08.439930,RT-XRM43971-0822,GOC,RM43971,1190575
2025-03-17T04:15:09.804561,RT-XRM43971-0823,GOC,RM43971,1190575
2025-03-17T04:15:47.631089,RT-XRM43971-0824,GOC,RM43971,1190575
2025-03-17T04:29:36.184713,RT-XRM43971-0825,HGH,RM43971,1190575
2025-03-17T04:32:19.992188,RT-XRM43971-0826,HGH,RM43971,1190575
2025-03-17T04:34:04.905867,RT-XRM43971-0827,HGH,RM43971,1190575
2025-03-17T04:36:24.630048,RT-XRM43971-0828,HGH,RM43971,1190575
2025-03-17T04:37:06.812304,RT-XRM43971-0829,HGH,RM43971,1190575
2025-03-17T04:37:47.859952,RT-XRM43971-0830,HGH,RM43971,1190575
2025-03-17T04:43:15.414975,RT-XRM43971-0831,GOV,RM43971,1190575
2025-03-17T04:44:35.934294,RT-XRM43971-0832,GOV,RM43971,1190575
2025-03-17T04:45:32.933760,RT-XRM43971-0833,GOV,RM43971,1190575
2025-03-17T04:46:10.573692,RT-XRM43971-0834,GOV,RM43971,1190575
2025-03-17T04:51:02.269058,RT-XRM43971-0835,GOV,RM43971,1190575
2025-03-17T04:51:57.301766,RT-XRM43971-0836,GOV,RM43971,1190575
2025-03-17T04:52:25.269519,RT-XRM43971-0837,GOV,RM43971,1190575
2025-03-17T04:59:59.761210,RT-XRM43971-0838,GOV,RM43971,1190575
2025-03-17T05:00:44.692237,RT-XRM43971-0839,GOV,RM43971,1190575
2025-03-17T05:04:01.571644,RT-XRM43971-0840,GOV,RM43971,1190575
2025-03-18T02:56:04.206493,RT-XRM43971-0841,GOV,RM43971,1190575
2025-03-18T02:56:19.770735,RT-XRM43971-0842,GOV,RM43971,1190575
2025-03-18T02:56:31.563404,RT-XRM43971-0843,GOV,RM43971,1190575
2025-03-18T02:56:57.415764,RT-XRM43971-0844,HGF,RM43971,1190575
2025-03-18T02:57:13.434915,RT-XRM43971-0845,HGF,RM43971,1190575
2025-03-18T03:15:14.399506,RT-XRM43971-0846,HGF,RM43971,1190575
2025-03-18T03:17:17.309205,RT-XRM43971-0847,HGF,RM43971,1190575
2025-03-18T03:17:36.068607,RT-XRM43971-0848,HGF,RM43971,1190575
2025-03-18T03:17:56.279142,RT-XRM43971-0849,HGF,RM43971,1190575
2025-03-18T03:21:20.155094,RT-XRM43971-0850,HGF,RM43971,1190575
2025-03-18T03:21:30.340004,RT-XRM43971-0851,HGF,RM43971,1190575
2025-03-18T03:28:23.314539,RT-XRM43971-0852,HGM,RM43971,1190575
2025-03-18T03:28:34.465525,RT-XRM43971-0853,HGM,RM43971,1190575
2025-03-18T03:28:44.237655,RT-XRM43971-0854,HGM,RM43971,1190575
2025-03-18T03:28:51.926879,RT-XRM43971-0855,HGM,RM43971,1190575
2025-03-18T03:29:00.792989,RT-XRM43971-0856,HGM,RM43971,1190575
2025-03-18T03:29:08.779763,RT-XRM43971-0857,HGM,RM43971,1190575
2025-03-18T03:29:15.279633,RT-XRM43971-0858,HGM,RM43971,1190575
2025-03-18T03:29:21.905821,RT-XRM43971-0859,HGM,RM43971,1190575
2025-03-18T03:29:28.170066,RT-XRM43971-0860,HGM,RM43971,1190575
2025-03-18T03:29:34.690419,RT-XRM43971-0861,HGM,RM43971,1190575
2025-03-18T03:29:43.074994,RT-XRM43971-0862,HGM,RM43971,1190575
2025-03-18T03:41:40.624421,RT-XRM43971-0863,HGM,RM43971,1190575
2025-03-18T03:41:49.156166,RT-XRM43971-0864,HGM,RM43971,1190575
2025-03-18T03:41:55.783772,RT-XRM43971-0865,HGM,RM43971,1190575
