measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
585,RT-XRM43971-0379,HGH,RM43971,1190579,3.75,Indiana Veal,4.8167,0.0115,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 08:50:02.204240+11:00,True,448,0.1242,True
586,RT-XRM43971-0380,HGH,RM43971,1190579,3.75,Indiana Veal,4.667,0.0033,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 09:00:01.981845+11:00,True,449,0.2426,True
587,RT-XRM43971-0381,HGH,RM43971,1190579,3.75,Indiana Veal,5.0773,0.0079,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 09:10:01.800661+11:00,True,450,0.2948,True
588,RT-XRM43971-0384,HGH,RM43971,1190579,3.75,Indiana Veal,5.1311,0.0226,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:10:01.963136+11:00,True,451,0.1439,True
589,RT-XRM43971-0385,HGH,RM43971,1190583,4.1499999999999995,Indiana Veal,4.9518,0.0042,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:20:01.760118+11:00,True,452,0.3748,True
590,RT-XRM43971-0386,HGH,RM43971,1190583,4.1499999999999995,Indiana Veal,4.7616,0.0034,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:20:02.939542+11:00,True,453,0.4236,True
591,RT-XRM43971-0387,HGH,RM43971,1190583,4.1499999999999995,Indiana Veal,4.9109,0.0022,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:30:02.006992+11:00,True,454,0.3733,True
592,RT-XRM43971-0388,HGH,RM43971,1190583,4.1499999999999995,Indiana Veal,4.547,0.0012,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:40:02.726556+11:00,True,455,0.443,True
593,RT-XRM43971-0389,HGH,RM43971,1190583,4.1499999999999995,Indiana Veal,5.1576,0.0083,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 10:50:02.076156+11:00,True,456,0.1807,True
594,RT-XRM43971-0390,HGH,RM43971,1190585,4.35,Indiana Veal,5.0444,0.0041,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 11:00:02.125143+11:00,True,457,0.3193,True
