measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
118,RT-XRM43971-0118,Pengxiang Hu,7.967133333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.811351,True,0.006273333333333334,1.360275453872859e-06
119,RT-XRM43971-0119,Pengxiang Hu,6.631333333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.823607,True,0.008032527415733966,1.5654705697198617e-06
120,RT-XRM43971-0120,Pengxiang Hu,3.972e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.835482,True,0.0033044925124792015,7.256119839240044e-07
121,RT-XRM43971-0188,Pengxiang Hu,4.287833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.858718,True,0.001841852806414662,3.904419352880471e-07
122,RT-XRM43971-0190,Pengxiang Hu,9.0977e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.870758,True,0.011400626566416041,2.12911303533817e-06
123,RT-XRM43971-0201,Pengxiang Hu,0.0001759433333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.882863,True,0.0029304352653786356,6.401431083621369e-07
124,RT-XRM43971-0206,Pengxiang Hu,7.442533333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.896057,True,0.0019841464498355998,4.2241519571674523e-07
125,RT-XRM43971-0221,Pengxiang Hu,9.734566666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.908111,True,0.004147663684135776,8.22037381073017e-07
126,RT-XRM43971-0240,Pengxiang Hu,0.00017386,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.919198,True,0.00399219288174512,8.077119628339141e-07
127,RT-XRM43971-0241,Pengxiang Hu,0.0008195566666666667,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.930341,True,0.018668716780561884,3.680919230481323e-06
128,RT-XRM43971-0242,Pengxiang Hu,5.5317e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.946574,True,0.0013832708177044261,3.386824220902467e-07
129,RT-XRM43971-0243,Pengxiang Hu,4.596825e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.961092,True,0.0021858416547788874,4.880374774392186e-07
130,RT-XRM43971-0246,Pengxiang Hu,0.00025103500000000004,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.973493,True,0.008495262267343488,1.7638771781899948e-06
131,RT-XRM43971-0258,Pengxiang Hu,7.8699e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.985958,True,0.003015287356321839,6.231609786998179e-07
132,RT-XRM43971-0263,Pengxiang Hu,0.0002446775,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.998324,True,0.008849095840867993,1.7366562566541273e-06
